id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1183543803233423360,1183543803233423360,1571013806000,2019-10-14,01:43:26,GMT Summer Time,856912715872391168,theinferiorgod,Inferior God,,"Me: “hey this video looks kinda cool, I’ll watc-“
Ad: “PLAY RAID SHADOW LEGENDS”",[],[],[],0,0,0,[],[],https://twitter.com/TheInferiorGod/status/1183543803233423360,False,,0,,,,,,,"[{'user_id': '856912715872391168', 'username': 'TheInferiorGod'}]",,,,
1183532924949401602,1183532924949401602,1571011212000,2019-10-14,01:00:12,GMT Summer Time,1852789236,gam3rgunk,Luke,,"This may come as a surprise. But even after 50 ads a day, I still don’t wanna play RAID SHADOW LEGENDS!",[],[],[],0,0,0,[],[],https://twitter.com/Gam3rGunk/status/1183532924949401602,False,,0,,,,,,,"[{'user_id': '1852789236', 'username': 'Gam3rGunk'}]",,,,
1183527104027222018,1183526604494004227,1571009825000,2019-10-14,00:37:05,GMT Summer Time,1098288232205299717,squidrob,FRND | Squid is stuck at home,,"I swear there are only two ads on YT now:
1. Raid Shadow Legends (80% of the time).
2. Grubhub (the other 20%).",['troutcloutga'],[],[],1,0,1,[],[],https://twitter.com/SquidROB/status/1183527104027222018,False,,0,,,,,,,"[{'user_id': '1098288232205299717', 'username': 'SquidROB'}, {'user_id': '1020069978526056448', 'username': 'TroutCloutGA'}]",,,,
1183445208958152705,1183445208958152705,1570990299000,2019-10-13,19:11:39,GMT Summer Time,4823342008,thewiebel,🇪🇪🇱🇻🇱🇹Oscar ❁,,Raid shadow legends ads the most annoying ass shit ever,[],[],[],0,0,3,[],[],https://twitter.com/TheWiebel/status/1183445208958152705,False,,0,,,,,,,"[{'user_id': '4823342008', 'username': 'TheWiebel'}]",,,,
1183443700141060096,1183219393959886850,1570989940000,2019-10-13,19:05:40,GMT Summer Time,775535502392864768,naminb4gamin,Namin(awesome cool based and starting gintama),,He can also skip over raid shadow legends ads,['jameskii'],[],[],0,0,0,[],[],https://twitter.com/NaminB4Gamin/status/1183443700141060096,False,,0,,,,,,,"[{'user_id': '775535502392864768', 'username': 'NaminB4Gamin'}, {'user_id': '1080077031457488899', 'username': 'Jameskii'}]",,,,
1183345995935047681,1183345995935047681,1570966645000,2019-10-13,12:37:25,GMT Summer Time,18630926,kranitoko,Charlie Murray,,"Now I hate mobile phone game ads.

But Raid: Shadow Legends actually make some damn good creative ones.

Ain't gonna make me play the game mind, but thumbs up.",[],[],[],1,0,1,[],[],https://twitter.com/Kranitoko/status/1183345995935047681,False,,0,,,,,,,"[{'user_id': '18630926', 'username': 'Kranitoko'}]",,,,
1183171739183960064,1183171739183960064,1570925099000,2019-10-13,01:04:59,GMT Summer Time,1129183074196107265,razortv10,its ya boi cody,,if i have to see another raid shadow legends ad again i think im gonna scream,[],[],[],0,0,0,[],[],https://twitter.com/RaZoRtV10/status/1183171739183960064,False,,0,,,,,,,"[{'user_id': '1129183074196107265', 'username': 'RaZoRtV10'}]",,,,
1182945569712623616,1182625316306608129,1570871176000,2019-10-12,10:06:16,GMT Summer Time,2244122918,theneworchestra,TheNewOrchestra 💀👮‍♂️🍎🍌,,"""Let's play Raid: Shadow Legends!
Download for free now!""

- The ad that kept popping up on my phone while I was just trying to watch some memes godda--",['kong_funkyape'],[],[],0,0,0,[],[],https://twitter.com/TheNewOrchestra/status/1182945569712623616,False,,0,,,,,,,"[{'user_id': '2244122918', 'username': 'TheNewOrchestra'}, {'user_id': '1102256168389492737', 'username': 'Kong_FunkyApe'}]",,,,
1182879131874160644,1182879131874160644,1570855336000,2019-10-12,05:42:16,GMT Summer Time,1047734270448492544,jessecreations,jesse.creations: new horizons⁷,,I swear to god if I see another fucking youtuber do an ad for Raid Shadow Legends I will literally kill myself,[],[],[],0,0,2,[],[],https://twitter.com/jessecreations/status/1182879131874160644,False,,0,,,,,,,"[{'user_id': '1047734270448492544', 'username': 'jessecreations'}]",,,,
1182745681917890560,1182745681917890560,1570823519000,2019-10-11,20:51:59,GMT Summer Time,2238283369,mojopsd,rb mojø,,"I’ve come to the point where I’m used to ads on YouTube videos, but if they had a little more variety I really wouldn’t mind.  Nothing is more annoying than getting the same grubhub and raid shadow legends ads 4 times on one video.. my god.",[],[],[],1,0,5,[],[],https://twitter.com/mojopsd/status/1182745681917890560,False,,0,,,,,,,"[{'user_id': '2238283369', 'username': 'mojopsd'}]",,,,
1182699068914634752,1182699068914634752,1570812406000,2019-10-11,17:46:46,GMT Summer Time,2630899828,cryysouls,Criied🐶,,I see so many raid shadow legends ads in youtube videos.,[],[],[],0,0,0,[],[],https://twitter.com/CryySouls/status/1182699068914634752,False,,0,,,,,,,"[{'user_id': '2630899828', 'username': 'CryySouls'}]",,,,
1182679656484372480,1182679656484372480,1570807777000,2019-10-11,16:29:37,GMT Summer Time,1118514759962222592,gheiboi1,JACK GOFF,,Open YouTube                                                Raid: Shadow Legends ads                       Close YouTube,[],[],[],0,0,1,[],[],https://twitter.com/Gheiboi1/status/1182679656484372480,False,,0,,,,,,,"[{'user_id': '1118514759962222592', 'username': 'Gheiboi1'}]",,,,
1182679502046019584,1182679502046019584,1570807741000,2019-10-11,16:29:01,GMT Summer Time,63357147,schemersremnant,Ian,,Please tel me I’m not the only one that skips literally every raid shadow legends sponsorship ad.,[],[],[],2,0,1,[],[],https://twitter.com/SchemersRemnant/status/1182679502046019584,False,,0,,,,,,,"[{'user_id': '63357147', 'username': 'SchemersRemnant'}]",,,,
1182669953834635267,1182669953834635267,1570805464000,2019-10-11,15:51:04,GMT Summer Time,1130011198815121408,yaboiclouse,YaBoiClouse AKA Cloochini,,"Ok, ok, fucking fine. If I play raid shadow legends will the FUCKING ADS STOP!?",[],[],[],1,0,1,[],[],https://twitter.com/YaBoiClouse/status/1182669953834635267,False,,0,,,,,,,"[{'user_id': '1130011198815121408', 'username': 'YaBoiClouse'}]",,,,
1182421301312417792,1182421301312417792,1570746181000,2019-10-10,23:23:01,GMT Summer Time,1093196817175625730,sombermallard,Michael,,"No one:
Absolutely not a single person:
YouTube ads: LET’S PLAY RAID SHADOW LEGENDS",[],[],[],0,0,0,[],[],https://twitter.com/SomberMallard/status/1182421301312417792,False,,0,,,,,,,"[{'user_id': '1093196817175625730', 'username': 'SomberMallard'}]",,,,
1182301042630909953,1182301042630909953,1570717509000,2019-10-10,15:25:09,GMT Summer Time,3022142573,buscemi_is_life,Anarcho Otaku 🏴Ⓐ🐸🇭🇰,,"Listen Youtubers, I'm sure Raid Shadow Legends is perfectly fine mobile game but every single one of you making ads for it isn't going to make me want to play it",[],[],[],0,0,0,[],[],https://twitter.com/Buscemi_Is_Life/status/1182301042630909953,False,,0,,,,,,,"[{'user_id': '3022142573', 'username': 'Buscemi_Is_Life'}]",,,,
