Source,Target,Tweet Type
rustiizz,i_am_wildcat,retweet
deauxenigma,gamesmenfess,retweet
brrpl,hypex,retweet
quirrella,linustech,retweet
alexitoabad55,ayrtonytomasi,retweet
utttae95,talvezricas,retweet
daniblackmagics,moonlightmuh,retweet
srytyshf,tech_lagi,retweet
juicefrxit,vinihzv,retweet
jvicouto,miyawakidinades,retweet
crfvmartins,g1,retweet
zakwan04,linustech,retweet
osmarinyt,kersthd,retweet
celulasx,mitxh_666,retweet
celulasx,epicgames,retweet
chromaticas2,moonlightmuh,retweet
pqp_surtadaaa,derrotdevi,retweet
nimusa_ma,tech_lagi,retweet
lvenancio22,porquetendencia,retweet
jzzfaiz,tech_lagi,retweet
wahmadsyamil,linustech,retweet
bdaveiro,talvezricas,retweet
magioguilherme,dinotv,retweet
mattu_gv,porquetendencia,retweet
binbinks30,monkey_d_rayan9,retweet
heimannrafael,derrotdevi,retweet
donttouchmyrvf,stoolgametime,retweet
brainnewt,derrotdevi,retweet
cosmutodobololo,moonlightmuh,retweet
djteg25,lucassbivar,retweet
aajangg,miggy504,retweet
geguigi300,talvezricas,retweet
lunar_eclipse_a,bolotacmcompota,retweet
mawrvelrx,moonlightmuh,retweet
datbatmanguy,mikechieknows,retweet
iurisousa03,matheusdaring_,retweet
iinessalvess,proddayymike,retweet
3000decilantro,licenciadogeek,retweet
andrade_yago_,derrotdevi,retweet
cosmutodobololo,joaovictor7t,retweet
nestotoredu,ayrtonytomasi,retweet
rikuzvn,theorus_,retweet
reidj11fsc,matheusdaring_,retweet
lyonalvesbr,lt_cherry7,retweet
zecagt2,g1,retweet
diego_acs_,lucassbivar,retweet
izzmegrace,derrotdevi,retweet
fckshety,derrotdevi,retweet
henriqueplemes,talvezricas,retweet
riorizkyrizaldy,linustech,retweet
andrade_yago_,andernics,retweet
wondbeautiful,diego1santos4,retweet
khairulh_aj,tech_lagi,retweet
amyrmukmin97,tech_lagi,retweet
forshakira5h,andernics,retweet
krzbaby,iam_johnw,retweet
juanzinn21,theekkj,retweet
_rxggs,rapmais,retweet
diego_acs_,derrotdevi,retweet
seth_hornbeck,linustech,retweet
usernam03508306,i_am_wildcat,retweet
myugiymouth,moonlightmuh,retweet
mr_almeidaii,talvezricas,retweet
izzmegrace,talvezricas,retweet
sucodegoiab4,talvezricas,retweet
zxhir_ikki26,tech_lagi,retweet
carlosmilhinho1,alvoradagames,retweet
zaetuls,tech_lagi,retweet
alyasyff,tech_lagi,retweet
gustavosluz,marcos16702227,retweet
alejunior94,g1,retweet
luthero_2354,talvezricas,retweet
zuuuli2,porquetendencia,retweet
pacheconah,porquetendencia,retweet
xavivazquez3gar,bruno_8893,retweet
lloldg,derrotdevi,retweet
3000decilantro,jihonelfacundo,retweet
izzmegrace,d_sasakii_,retweet
goodboyjerk,nrggg,retweet
silverc4ts,ayrtonytomasi,retweet
vinigod321,derrotdevi,retweet
crafter_audio,linustech,retweet
chernoboydapora,derrotdevi,retweet
lloldg,andernics,retweet
mborbamito,g1,retweet
badrul_bebe,tech_lagi,retweet
sucodegoiab4,derrotdevi,retweet
therealebardo,bruno_8893,retweet
hexer651xd,navarreteytzel,retweet
izzmegrace,lucassbivar,retweet
c4rdoso__,proddayymike,retweet
moraq06,linustech,retweet
thegiovannit,dryan2018,retweet
cowlormx,bolotacmcompota,retweet
ricardo13310395,eusouosena,retweet
ragedroidnet,fred_ssc,retweet
joaquinxvazquez,porquetendencia,retweet
cpunk_reset,linustech,retweet
pikkaplays21,i_am_wildcat,retweet
theholyjuan22,bolotacmcompota,retweet
absktcase,phafonso1994,retweet
avlisted,g1,retweet
rpereirabcl,matheusdaring_,retweet
artyesputo,sayorijoestar,retweet
costamateus2803,derrotdevi,retweet
arief_zhahiran_,tech_lagi,retweet
dazailvs,vinisz__,retweet
genos_cidio,derrotdevi,retweet
moussedeabacate,talvezricas,retweet
nattorner,rafuki21,retweet
turnes_3,_lassana_,retweet
compspiral,i_am_wildcat,retweet
andiyusrann,bolotacmcompota,retweet
josevictordmm,o_rizada9,reply
izzmegrace,moonlightmuh,retweet
costamateus2803,talvezricas,retweet
northernclaw23,i_am_wildcat,retweet
freemanovec,captainveggy,retweet
orochiii_,neotaax,retweet
inrmstya,tech_lagi,retweet
anttlv,theorus_,retweet
georgeg31525841,i_am_wildcat,retweet
jnss02rj,derrotdevi,retweet
fabianh100,porquetendencia,retweet
egsaladd,mikechieknows,retweet
hermxnx,g1,retweet
di_guerreirovk2,moonlightmuh,retweet
orochiii_,realbluexen,retweet
rlopezh16,bruno_8893,retweet
amor_agridulce,descuentosrata,retweet
jleal0123,vinisz__,retweet
maxinweb82,verge,retweet
plpn_,derrotdevi,retweet
luuck071,derrotdevi,retweet
guedeezd,derrotdevi,retweet
kauefbraz_,derrotdevi,retweet
rbiene9,playeronetyc,retweet
pedrorosa7723,eusouosena,retweet
ralph156perez,stoolgametime,retweet
sluminer,lordruffles,retweet
luuck071,andernics,retweet
xdroperz,bruno_8893,retweet
puntenbosscu,rednesia,retweet
silverc4ts,codigoguest,retweet
wyllmorningstar,sayorijoestar,retweet
viisz2,skibidih,retweet
elfeooog,i_am_wildcat,retweet
juuliamartinsxz,alvoradagames,retweet
medicenbex,divinezerinus,retweet
barou_dev,theorus_,retweet
junervalmir,alvoradagames,retweet
leticiaheel,andernics,retweet
edburati,derrotdevi,retweet
hyutagod,talvezricas,retweet
bumm3r__,tech_lagi,retweet
guedeezd,andernics,retweet
fathanzullfa,iam_johnw,retweet
santiagoleyessl,navarreteytzel,retweet
cecilielundsga1,gtaonlinenews,retweet
alyciamsnow,devopsnew,retweet
abdalla37389951,rockstar7games,retweet
andrey1r,bruno_8893,retweet
cesarsteinfeld,miyawakidinades,retweet
danishrozain,matheusdaring_,retweet
jonpbritto,derrotdevi,retweet
edburati,talvezricas,retweet
jairoalmario,porquetendencia,retweet
guedeezd,talvezricas,retweet
_tomasazevedo,talvezricas,retweet
gero_hernandez,porquetendencia,retweet
septianafie,rednesia,retweet
musdebxl,jvcom,retweet
sn0wleop4rd,tech_lagi,retweet
gabriel7gouveia,derrotdevi,retweet
gap_parkourkaya,matheusdaring_,retweet
viisz2,diego1santos4,retweet
azareeqdanial,matheusdaring_,retweet
_fat_gang_,lucasrocha365,retweet
lustsvd,matheusdaring_,retweet
ainezinhx,talvezricas,retweet
luuck071,d_sasakii_,retweet
xbx4lfe,verge,retweet
clarinhaaxz_,talvezricas,retweet
lilbuu5,hypex,retweet
luuck071,moonlightmuh,retweet
blandoide,codigoguest,retweet
nptalty,derrotdevi,retweet
beckdoidao,talvezricas,retweet
buenogustav,talvezricas,retweet
gabriel7gouveia,talvezricas,retweet
luuck071,lucassbivar,retweet
clementalcalay,jeanonchemuscle,retweet
jojooo137,riccio_valerio,retweet
linolvrlls10,theorus_,retweet
samsuddin_shaz,matheusdaring_,retweet
olgaliramoss,i_am_wildcat,retweet
xoxi_ixox,andernics,retweet
luuck071,gomescavalero,retweet
ktr3111,i_am_wildcat,retweet
marvelomaniac,hypex,retweet
daniloluizvp,willymouram,retweet
galabriel_fraga,andernics,retweet
arya_apd,bolotacmcompota,retweet
gregzeraa,knjutopia,retweet
joe_esquirio,meajudanick,retweet
jfrancisco790,eusouosena,retweet
hssawy00,games_mixx,retweet
oqiankun,derrotdevi,retweet
enriquemendde,andernics,retweet
guedeezd,d_sasakii_,retweet
tomipopchamp,bolotacmcompota,retweet
fdaydr,news18tech,retweet
fdaydr,distantvicinity,retweet
oqiankun,andernics,retweet
cesarsteinfeld,sayorijoestar,retweet
lucasrenatop,derrotdevi,retweet
luuck071,marcos16702227,retweet
chaiiuzmk,theorus_,retweet
daniloluizvp,marcos16702227,retweet
predo333,luizfig08,reply
littlepresley_,sayorijoestar,retweet
elbarrasbajas2,bruno_8893,retweet
salimdarkwriter,derrotdevi,retweet
igormignone,derrotdevi,retweet
days_boy,imthedouglas,retweet
nicholasaraujo7,andernics,retweet
waslxbron,theorus_,retweet
yogahstm,linustech,retweet
gg_swampa,bolotacmcompota,retweet
marcio7teixeira,alvoradagames,retweet
vmmv096,miyawakidinades,retweet
cadu123ce,derrotdevi,retweet
silvestremalone,sayorijoestar,retweet
call_me_rekt,eusouosena,retweet
shinobuoshino14,gtaseries,retweet
httpastz,eusauken,retweet
andrey1r,sayorijoestar,retweet
shfiqzahari,tech_lagi,retweet
crvgtvrsgs9,derrotdevi,retweet
njluvie,derrotdevi,retweet
lorrana_cardoso,moonlightmuh,retweet
malttez_,eusouosena,retweet
itzray20,iam_johnw,retweet
anis_nadir92,carlito__22,retweet
b_bernabe2,imthedouglas,retweet
seorangman,tech_lagi,retweet
brandon31111120,bolotacmcompota,retweet
guedeezd,anauhts,retweet
zedasix,linustech,retweet
_cocadinha_,talvezricas,retweet
luuck071,carlosveins,retweet
arnaldomatheus8,derrotdevi,retweet
johny2125,eusouosena,retweet
_carlosdias00_,eusouosena,retweet
homensimao,lucasrocha365,retweet
trxvyy_,talvezricas,retweet
mrigorpadovan,rafaelul_,retweet
desousavelino,3djuegos,retweet
tliogabriel4,talvezricas,retweet
syfwieizni,matheusdaring_,retweet
joaovm47,poxarog,retweet
mauriciobbrito,jairbolsonaro,retweet
filipinhoafldr,derrotdevi,retweet
