Source,Target,Tweet Type
dimitri_r6s,callofdutyfr,reply
valentinbrg,scuffrance,reply
maxtiggertom,callofdutyuk,reply
w1lm3r13,threeuk,reply
amritdasauto,callofdutyuk,reply
tomisfierce,threeuk,reply
calor_abdel2,callofdutyfr,reply
souchono,callofdutyfr,reply
games_dgx,callofdutyfr,reply
sqaze_,callofdutyde,reply
bendicko13,callofdutyuk,reply
_celesterella_,callofdutyuk,reply
adamc127,callofdutyuk,reply
matt_holmes123,callofdutyuk,reply
eclevinger,kontrolfreek,reply
mrlothbrokm,callofdutyfr,reply
coreysylvester_,kontrolfreek,reply
elkilanymostafa,threeuk,reply
daveyblur,callofdutyuk,reply
qcoxe,nvidiageforcefr,reply
murderousgeko,callofdutyuk,reply
notexquisite,callofdutyuk,reply
anikinoeldren,nvidiageforcefr,reply
thomassin_31,nvidiageforcefr,reply
otryx_,nvidiageforcefr,reply
ctjrawen,callofdutyfr,reply
9562alban,callofdutyfr,reply
jkr281206,threeuk,reply
skouinar,nvidiageforcefr,reply
_tommurph,papajohnsuk,reply
makeouthxll,threeuk,reply
lynix_designs,nvidiageforcefr,reply
cassandra_pike,callofdutyfr,reply
btarslan,callofdutyuk,reply
incvirtuozz,callofdutyfr,reply
clemavan0x,nvidiageforcefr,reply
gpdoni,callofdutyuk,reply
mavstorm_gaming,astrogaming,reply
bat74___,callofdutyfr,reply
hoareauulrich,nvidiageforcefr,reply
jenster100,threeuk,reply
zoe_flynn,papajohnsuk,reply
imschmidty02,kontrolfreek,reply
aymeriico,nvidiageforcefr,reply
jamieneale5,callofdutyuk,reply
thomas91903067,callofdutyfr,reply
utilisateur96,nvidiageforcefr,reply
seijinryu,playstationde,reply
musoxx95,kontrolfreekes,reply
xxskeledankxx,nvidiageforceuk,reply
_evin_w,boohooman,reply
toad617,threeuk,reply
aisekq,kontrolfreek,reply
imran6437,nvidiageforceuk,reply
jeancasash,nvidiageforceuk,reply
persojlesenbien,nvidiageforcefr,reply
dhvikinggamer8,kontrolfreek,reply
rishibhogal15,callofdutyuk,reply
jawadhenni,callofdutyfr,reply
carlwalker1984,callofdutyuk,reply
sucrelune2,callofdutyfr,reply
lol_manuso,callofdutyes,reply
brtlgk,callofdutyfr,reply
aadil_sidat,nvidiageforceuk,reply
davidbrock84,callofdutyuk,reply
_shanncrooks,callofdutyuk,reply
enzoescan,nvidiageforcefr,reply
bennistaken,yenxhiong,reply
karl_p78,astrogamingfr,reply
jcastillogo,kontrolfreek,reply
topboikenny,boohooman,reply
exooode,nvidiageforcefr,reply
lunaredfield_,callofdutyes,reply
https_jackie13,kontrolfreek,reply
le_cero,nvidiageforcefr,reply
mdgaming86,amedeo602,reply
lecaillaseure,callofdutyfr,reply
immattlthomas,threeuk,reply
furyax_yt,nvidiageforcefr,reply
purelyunited,kontrolfreek,reply
xylotweetss,threeuk,reply
hizziawp,nvidiageforceuk,reply
joshatwell4619,callofdutyuk,reply
marceau_lageyre,callofdutyfr,reply
toxicvibezz__,threeuk,reply
loogleez,ipuumba,reply
arnold__wilson,tobjizzle,reply
kappa_dll,nvidiageforceuk,reply
ketof__,callofdutyfr,reply
limaomg,callofdutyes,reply
assassinge12,nvidiageforcefr,reply
tinkertink2010,boohooman,reply
reinboldtheo,scuffrance,reply
terradocarl,callofdutyuk,reply
linkzy4prmmnstr,astrogaming,reply
katlebanni,nvidiageforcefr,reply
pierrealph,nvidiageforcefr,reply
enzoescan,scuffrance,reply
iiyzzz,astrogaming,reply
waliiiiiiiid59,nvidiageforcefr,reply
danlaximus,callofdutyuk,reply
ugeniousiq999,astrogaming,reply
moralesd22345,callofdutyuk,reply
phishtickk,nvidiageforcefr,reply
diegostunes,callofdutyfr,reply
callofmarty,kontrolfreek,reply
lovemufcwend,callofdutyuk,reply
_tommurph,threeuk,reply
jbs524,astrogaming,reply
toad617,papajohnsuk,reply
aeromixx1,astrogaming,reply
imperial_cnton,callofdutyfr,reply
alexis_crbt,callofdutyfr,reply
iiime3p,papajohnsuk,reply
enzoescan,callofdutyfr,reply
idlesloth1984,astrogaming,reply
arnold__wilson,threeuk,reply
im_zap,callofdutyfr,reply
maumaury59,callofdutyfr,reply
bob1361,nvidiageforcefr,reply
https_jackie13,astrogaming,reply
farmergeorge56,callofdutyuk,reply
ethanboone2,nvidiageforceuk,reply
anthraxfps,nvidiageforceuk,reply
niitr0gen_shoot,callofdutyuk,reply
its__v,astrogaming,reply
indeediouss,kontrolfreek,reply
luzrock__,callofdutyfr,reply
elvis_v9,astrogaming,reply
lootbeast_,astrogaming,reply
flavelljacob,kontrolfreek,reply
lesamu2,nvidiageforcefr,reply
kholinmr,callofdutyfr,reply
loveless40_,callofdutyuk,reply
funnysaucegames,astrogaming,reply
jorged_pereira,nvidiageforcees,reply
monkeydzoroo,callofdutyfr,reply
ovela18,callofdutyuk,reply
snd_evo,callofdutyfr,reply
tg_lynx,callofdutyuk,reply
soredford,astrogaming,reply
alfonsolucenato,callofdutyes,reply
heathersymons_,callofdutyuk,reply
blc2107,papajohnsuk,reply
stevetendo,callofdutyuk,reply
zeeshan23559413,threeuk,reply
yanis_beghalem,callofdutyfr,reply
willjansen1999,astrogaming,reply
hykoply,nvidiageforcefr,reply
manipeur974,nvidiageforcefr,reply
georgeg22_,vyorkie,reply
_tommurph,kontrolfreek,reply
lecarltonreal,callofdutyuk,reply
blueplayscod,astrogaming,reply
mcreepee,nvidiageforcefr,reply
anthraxfps,callofdutyuk,reply
alihijazi171,astrogaming,reply
bjzsp,mrxsoki,reply
adrian06824636,callofdutyuk,reply
gonzralok,nvidiageforcefr,reply
theodorgrinder,threeuk,reply
nelson1118zack,callofdutyuk,reply
brolycg,scuffrance,reply
flyin_hawaiin07,astrogaming,reply
imonkeydo,nvidiageforcede,reply
toad617,astrogaminguk,reply
official__aryan,callofdutyuk,reply
shamrockscam,astrogaming,reply
romannoob,astrogaminguk,reply
be_cimon,nvidiageforcefr,reply
droitaubutt13,scuffrance,reply
flyin_hawaiin07,astrogaming,reply
matteoadolf,callofdutyfr,reply
gautiergavignon,callofdutyfr,reply
eray93p,callofdutyfr,reply
just_tambo,marcia_12107,reply
fomunick,astrogaming,reply
hokingames,kontrolfreek,reply
atrainor77,callofdutyuk,reply
jukyhotm,callofdutyfr,reply
wizard_wreckage,astrogaming,reply
jesuszavaleta6,astrogaming,reply
dylanboik,callofdutyuk,reply
kholinmr,astrogamingfr,reply
